20.707851,47.958893,0.000000,3,2017-11-30-16-19-15,1512058755,2017,11,30,16,19,15
20.707851,47.951263,0.000000,3,2017-11-30-16-19-17,1512058757,2017,11,30,16,19,17
20.729301,47.958893,0.000000,3,2017-11-30-16-19-18,1512058758,2017,11,30,16,19,18
20.729301,47.951263,7.279996,3,2017-11-30-16-19-20,1512058760,2017,11,30,16,19,20
20.750751,47.958893,0.000000,3,2017-11-30-16-19-22,1512058762,2017,11,30,16,19,22
20.793652,48.004669,0.000000,3,2017-11-30-16-19-23,1512058763,2017,11,30,16,19,23
20.815102,48.012299,0.000000,3,2017-11-30-16-19-25,1512058765,2017,11,30,16,19,25
20.858004,48.012299,7.000000,3,2017-11-30-16-19-27,1512058767,2017,11,30,16,19,27
20.890179,48.035187,0.000000,3,2017-11-30-16-19-29,1512058769,2017,11,30,16,19,29
20.911629,48.042816,0.000000,3,2017-11-30-16-19-30,1512058770,2017,11,30,16,19,30
20.943804,48.042816,0.000000,3,2017-11-30-16-19-32,1512058772,2017,11,30,16,19,32
20.965254,48.035187,0.000000,3,2017-11-30-16-19-34,1512058774,2017,11,30,16,19,34
20.986704,48.035187,0.000000,3,2017-11-30-16-19-35,1512058775,2017,11,30,16,19,35
21.018879,48.080963,0.000000,3,2017-11-30-16-19-37,1512058777,2017,11,30,16,19,37
21.018879,48.080963,0.000000,3,2017-11-30-16-19-39,1512058779,2017,11,30,16,19,39
21.051054,48.103851,0.000000,3,2017-11-30-16-19-40,1512058780,2017,11,30,16,19,40
21.093956,48.111481,0.000000,3,2017-11-30-16-19-42,1512058782,2017,11,30,16,19,42
21.083229,48.119110,0.000000,3,2017-11-30-16-19-44,1512058784,2017,11,30,16,19,44
21.115406,48.111481,7.140008,3,2017-11-30-16-19-45,1512058785,2017,11,30,16,19,45
21.126131,48.111481,0.000000,3,2017-11-30-16-19-47,1512058787,2017,11,30,16,19,47
21.169031,48.111481,0.000000,3,2017-11-30-16-19-49,1512058789,2017,11,30,16,19,49
21.211931,48.119110,0.000000,3,2017-11-30-16-19-51,1512058791,2017,11,30,16,19,51
21.222656,48.088593,0.000000,3,2017-11-30-16-19-52,1512058792,2017,11,30,16,19,52
21.254831,48.088593,0.000000,3,2017-11-30-16-19-54,1512058794,2017,11,30,16,19,54
21.297731,48.065704,0.000000,3,2017-11-30-16-19-56,1512058796,2017,11,30,16,19,56
21.297731,48.058075,7.559991,3,2017-11-30-16-19-57,1512058797,2017,11,30,16,19,57
21.329906,48.035187,0.000000,3,2017-11-30-16-19-59,1512058799,2017,11,30,16,19,59
21.340631,48.012299,7.279996,3,2017-11-30-16-20-1,1512058801,2017,11,30,16,20,1
21.372808,47.981781,0.000000,3,2017-11-30-16-20-2,1512058802,2017,11,30,16,20,2
21.383533,47.951263,7.140008,3,2017-11-30-16-20-4,1512058804,2017,11,30,16,20,4
21.383533,47.928375,0.000000,3,2017-11-30-16-20-6,1512058806,2017,11,30,16,20,6
21.426434,47.882599,0.000000,3,2017-11-30-16-20-7,1512058807,2017,11,30,16,20,7
21.415709,47.859711,0.000000,3,2017-11-30-16-20-9,1512058809,2017,11,30,16,20,9
21.426434,47.844452,0.000000,3,2017-11-30-16-20-11,1512058811,2017,11,30,16,20,11
21.437159,47.791046,0.000000,3,2017-11-30-16-20-13,1512058813,2017,11,30,16,20,13
21.426434,47.752899,0.000000,3,2017-11-30-16-20-14,1512058814,2017,11,30,16,20,14
21.447884,47.730011,0.000000,3,2017-11-30-16-20-16,1512058816,2017,11,30,16,20,16
21.447884,47.691864,0.000000,3,2017-11-30-16-20-18,1512058818,2017,11,30,16,20,18
21.447884,47.653717,0.000000,3,2017-11-30-16-20-19,1512058819,2017,11,30,16,20,19
21.447884,47.623199,0.000000,3,2017-11-30-16-20-21,1512058821,2017,11,30,16,20,21
21.447884,47.600311,0.000000,3,2017-11-30-16-20-23,1512058823,2017,11,30,16,20,23
